Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr),India VIX ,STT rate,Avg Share price,Trading Volume
02-Jan-23,18131.7,18215.15,18086.5,18197.45,256073979,11793.06,14.685,0.05,18150.825,0.649725839
03-Jan-23,18163.2,18251.95,18149.8,18232.55,208699772,13680.91,14.385,0.05,18200.875,0.751662214
04-Jan-23,18230.65,18243,18020.6,18042.95,235162202,16687.71,15.1975,0.05,18131.8,0.920355949
05-Jan-23,18101.95,18120.3,17892.6,17992.15,269949738,22108.53,14.9825,0.05,18006.45,1.227811701
06-Jan-23,18008.05,18047.4,17795.55,17859.45,238220578,17495.25,15.025,0.05,17921.475,0.97621708
09-Jan-23,17952.55,18141.4,17936.15,18101.2,257237669,19916.16,14.6525,0.05,18038.775,1.104074972
10-Jan-23,18121.3,18127.6,17856,17914.15,283277918,20570.3,15.51,0.05,17991.8,1.143315288
11-Jan-23,17924.25,17976.35,17824.35,17895.7,259853294,20204.33,15.435,0.05,17900.35,1.12871145
12-Jan-23,17920.85,17945.8,17761.65,17858.2,227769060,19762.43,15.275,0.05,17853.725,1.106907942
13-Jan-23,17867.5,17999.35,17774.25,17956.6,256700729,21341.7,14.46,0.05,17886.8,1.19315361
16-Jan-23,18033.15,18049.65,17853.65,17894.85,206195816,16728.37,15.0225,0.05,17951.65,0.93185696
17-Jan-23,17922.8,18072.05,17886.95,18053.3,219055125,17461.09,14.59,0.05,17979.5,0.971166606
18-Jan-23,18074.3,18183.75,18032.45,18165.35,255840928,20500.07,14.3725,0.05,18108.1,1.132093925
19-Jan-23,18119.8,18155.2,18063.75,18107.85,237833991,18413.13,13.96,0.05,18109.475,1.016767742
20-Jan-23,18115.6,18145.45,18016.2,18027.65,237225269,19519.96,13.7875,0.05,18080.825,1.079594543
23-Jan-23,18118.45,18162.6,18063.45,18118.55,202460434,17060.12,13.6175,0.05,18113.025,0.941870284
24-Jan-23,18183.95,18201.25,18078.65,18118.3,216910302,19705.91,13.6575,0.05,18139.95,1.086326589
25-Jan-23,18093.35,18100.6,17846.15,17891.95,257227052,20890.56,14.655,0.05,17973.375,1.162305911
27-Jan-23,17877.2,17884.75,17493.55,17604.35,476342611,40104.83,17.32,0.05,17689.15,2.267199385
30-Jan-23,17541.95,17709.15,17405.55,17648.95,432434028,38159.88,17.71,0.05,17557.35,2.173441892
31-Jan-23,17731.45,17735.7,17537.55,17662.15,398338541,35023.7,16.875,0.05,17636.625,1.985850467
01-Feb-23,17811.6,17972.2,17353.4,17616.3,512870802,38486.19,16.78,0.05,17662.8,2.178940485
02-Feb-23,17517.1,17653.9,17445.95,17610.4,490113567,37639.96,15.7325,0.05,17549.925,2.144736231
