Date 	Open 	High 	Low 	Close 	Shares Traded 	Turnover (? Cr)	India VIX	STT rate	Avg Share price	Trading Volume 
01-Jan-13	5937.65	5963.9	5935.2	5950.85	77902745	3298.74	13.69	0.05	5949.55	0.554452017
02-Jan-13	5982.6	6006.05	5982	5993.25	116057389	4992.9	13.71	0.05	5994.025	0.832979509
03-Jan-13	6015.8	6017	5986.55	6009.5	99989933	4883.13	13.47	0.05	6001.775	0.813614306
04-Jan-13	6011.95	6020.75	5981.55	6016.15	113232990	5191.38	13.37	0.05	6001.15	0.865064196
07-Jan-13	6042.15	6042.15	5977.15	5988.4	110248018	5093.62	13.92	0.05	6009.65	0.847573486
08-Jan-13	5983.45	6007.05	5964.4	6001.7	109937502	5247.74	13.27	0.05	5985.725	0.876709171
09-Jan-13	6006.2	6020.1	5958.45	5971.5	129635568	6462.35	13.32	0.05	5989.275	1.078987023
10-Jan-13	5998.8	6005.15	5947.3	5968.65	129767384	6191.88	13.27	0.05	5976.225	1.036085489
11-Jan-13	6012.4	6018.85	5940.6	5951.3	128022002	8228.71	13.23	0.05	5979.725	1.376101744
14-Jan-13	5967.2	6036.9	5962.15	6024.05	134711348	7279.83	13.7	0.05	5999.525	1.213401061
15-Jan-13	6037.85	6068.5	6018.6	6056.6	138364003	6978.26	13.58	0.05	6043.55	1.154662409
16-Jan-13	6049	6055.95	5992.05	6001.85	128985952	6172.67	13.99	0.05	6024	1.024679615
17-Jan-13	6001.25	6053.2	5988.1	6039.2	178954867	7569.17	14.01	0.05	6020.65	1.257201465
18-Jan-13	6059.85	6083.4	6048.3	6064.4	186460701	8321.15	13.89	0.05	6065.85	1.371802798
21-Jan-13	6085.75	6094.35	6065.1	6082.3	130866385	6065.99	13.66	0.05	6079.725	0.997740852
22-Jan-13	6080.15	6101.3	6040.5	6048.5	129041713	5744.09	13.89	0.05	6070.9	0.946167784
23-Jan-13	6052.85	6069.8	6021.15	6054.3	136989190	5932.29	13.67	0.05	6045.475	0.981277733
24-Jan-13	6046.2	6065.3	6007.85	6019.35	185210189	7884.14	14.46	0.05	6036.575	1.306061798
25-Jan-13	6024.5	6080.55	6014.45	6074.65	147587200	6384.65	14.77	0.05	6047.5	1.05575031
28-Jan-13	6082.1	6088.4	6061.4	6074.8	113113004	5592.39	15.17	0.05	6074.9	0.920573178
29-Jan-13	6064.7	6111.8	6042.45	6049.9	157553752	8261.34	14.47	0.05	6077.125	1.359415842
30-Jan-13	6065	6071.95	6044.15	6055.75	124222858	6220.8	14.38	0.05	6058.05	1.02686508
31-Jan-13	6045.65	6058.05	6025.15	6034.75	168516750	8753.14	14.13	0.05	6041.6	1.448811573
01-Feb-13	6040.95	6052.95	5983.2	5998.9	159271140	6189.27	13.76	0.05	6018.075	1.028446804
04-Feb-13	6025.2	6038.5	5981.25	5987.25	141741868	6166.05	14.34	0.05	6009.875	1.025986397
05-Feb-13	5948.2	5970.35	5946.9	5956.9	136227506	5332.28	14.61	0.05	5958.625	0.894884306
06-Feb-13	5988.05	5990.9	5953.15	5959.2	157815926	5865.83	14.26	0.05	5972.025	0.982217924
07-Feb-13	5936.45	5978.5	5927.6	5938.8	157647191	5555.4	14.89	0.05	5953.05	0.933202308
08-Feb-13	5929.1	5953.7	5883.65	5903.5	192607376	6761.75	15.16	0.05	5918.675	1.142443199
11-Feb-13	5920.05	5924.15	5879.1	5897.85	121958667	5506.43	15.65	0.05	5901.625	0.93303624
12-Feb-13	5894.35	5927.65	5886.45	5922.5	142844560	4844.11	15.31	0.05	5907.05	0.820055696
13-Feb-13	5943.15	5969.5	5922.95	5932.95	142636632	5714.83	15.14	0.05	5946.225	0.961085395
14-Feb-13	5933.2	5940.2	5884.55	5896.95	143830565	7125.55	15.09	0.05	5912.375	1.205192499
15-Feb-13	5869.95	5899.95	5853.9	5887.4	125091945	5187.91	15.24	0.05	5876.925	0.882759266
18-Feb-13	5888.65	5911	5878.45	5898.2	114284193	4187.19	16.29	0.05	5894.725	0.710328302
19-Feb-13	5900.2	5947.55	5883.15	5939.7	100984778	3743.8	15.81	0.05	5915.35	0.632895771
20-Feb-13	5966.3	5971	5937.55	5943.05	135354164	5330.7	15.6	0.05	5954.275	0.895272724
21-Feb-13	5909.65	5921.15	5844.4	5852.25	159401234	6407.29	16.94	0.05	5882.775	1.089161153
22-Feb-13	5837.95	5873.8	5835.8	5850.3	157046865	5487.58	16.79	0.05	5854.8	0.937278814
25-Feb-13	5870.55	5878.4	5825	5854.75	125128736	4851.54	16.73	0.05	5851.7	0.829082147
26-Feb-13	5838.3	5838.85	5748.6	5761.35	157360222	5842.04	17.36	0.05	5793.725	1.008339195
27-Feb-13	5784.9	5818.2	5749.7	5796.9	175165933	6202.31	16.23	0.05	5783.95	1.072331192
28-Feb-13	5834.35	5849.9	5671.9	5693.05	334852895	12964.2	14.86	0.05	5760.9	2.250377545
01-Mar-13	5702.45	5739.45	5679.9	5719.7	174517984	6877.59	14.06	0.05	5709.675	1.204550171
04-Mar-13	5704.7	5712	5663.6	5698.5	144887325	5778.72	13.67	0.05	5687.8	1.015985091
05-Mar-13	5722.45	5790.1	5722.4	5784.25	154406134	6321.31	13.39	0.05	5756.25	1.098164604
06-Mar-13	5816.4	5828.7	5795.05	5818.6	156901392	6244.47	13.4	0.05	5811.875	1.07443295
