,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
0,30000.0,0,3.0,2,1200.0,2,3.0,25,4.0,32.0
1,39500.0,0,3.0,2,1200.0,2,3.0,17,4.0,18.0
2,20000.0,2,3.0,1,1570.0,2,3.0,14,1.0,1.0
3,25000.0,1,3.0,1,1670.0,2,3.0,25,6.0,11.0
4,20000.0,1,2.0,1,1200.0,2,3.0,27,5.0,9.0
5,50000.0,0,3.0,0,1200.0,2,3.0,62,13.0,40.0
6,75000.0,0,4.0,2,1675.0,2,3.0,40,12.0,25.0
7,42000.0,0,5.0,1,1650.0,5,4.0,68,2.0,7.0
8,18000.0,2,3.0,0,1200.0,2,3.0,25,2.0,4.0
9,32000.0,2,2.0,2,1220.0,2,2.0,14,1.0,4.0
10,45000.0,0,3.0,1,1000.0,5,2.0,3,2.0,7.0
11,20000.0,2,2.0,1,1200.0,3,3.0,33,0.0,2.0
12,50000.0,0,2.0,1,1200.0,3,2.0,71,1.0,3.0
13,40000.0,0,3.0,0,1836.0,2,3.0,57,11.0,16.0
14,50000.0,1,3.0,1,1200.0,5,3.0,47,2.0,7.0
15,25000.0,1,3.0,1,1200.0,3,3.0,15,2.0,7.0
16,36000.0,1,3.0,2,1600.0,2,3.0,10,1.0,1.0
17,25000.0,0,2.0,2,1300.0,5,2.0,25,2.0,7.0
18,40000.0,2,2.0,0,950.0,2,2.0,33,6.0,14.0
19,23000.0,2,3.0,0,1200.0,3,3.0,62,1.0,2.0
20,24000.0,0,2.0,1,1200.0,2,2.0,27,1.0,1.0
21,35000.0,2,2.0,1,1150.0,2,2.0,33,1.0,5.0
22,100000.0,0,5.0,0,3600.0,3,4.0,71,2.0,7.0
23,35000.0,1,3.0,1,900.0,2,2.0,25,3.0,4.0
24,35000.0,1,3.0,2,1200.0,2,3.0,25,2.0,7.0
25,33000.0,0,4.0,2,1200.0,5,4.0,25,2.0,7.0
26,20000.0,2,3.0,1,1200.0,3,7.0,10,2.0,7.0
27,25000.0,2,2.0,0,785.0,0,2.0,17,10.0,11.0
28,6000.0,1,2.0,1,1200.0,3,2.0,37,2.0,7.0
29,25000.0,2,2.0,1,1200.0,2,2.0,33,2.0,2.0
30,35000.0,0,3.0,1,1200.0,0,3.0,25,22.0,25.0
31,17000.0,1,3.0,0,1200.0,0,3.0,17,7.0,9.0
32,30000.0,0,3.0,1,1500.0,0,3.0,61,4.0,12.0
33,16000.0,1,2.0,1,1200.0,1,3.0,65,2.0,7.0
34,27500.0,0,2.0,1,1200.0,0,2.0,25,7.0,14.0
35,30000.0,2,3.0,1,3500.0,3,3.0,17,1.0,1.0
36,80000.0,1,5.0,1,3600.0,3,6.0,47,0.0,2.0
37,10000.0,1,2.0,1,2000.0,3,2.0,1,2.0,7.0
38,30000.0,1,3.0,1,1200.0,0,3.0,8,3.0,18.0
39,32000.0,0,1.0,0,650.0,0,1.0,25,1.0,26.0
40,25000.0,1,3.0,0,1200.0,3,3.0,14,1.0,2.0
41,30000.0,0,3.0,1,1200.0,3,3.0,17,0.0,2.0
42,5000.0,2,1.0,1,450.0,3,2.0,18,0.0,1.0
43,15000.0,2,2.0,1,1200.0,0,2.0,72,1.0,3.0
44,20000.0,1,2.0,1,1200.0,4,2.0,47,1.0,4.0
45,6500.0,1,2.0,1,1200.0,3,3.0,1,0.0,1.0
46,20000.0,2,2.0,0,1100.0,1,2.0,69,1.0,1.0
47,30000.0,2,2.0,0,850.0,0,2.0,33,12.0,26.0
48,38000.0,0,4.0,2,1200.0,3,4.0,33,1.0,2.0
49,26000.0,2,3.0,0,1500.0,1,3.0,14,0.0,2.0
50,20000.0,1,3.0,2,1200.0,3,2.0,29,2.0,7.0
51,55000.0,0,4.0,0,2300.0,3,4.0,14,2.0,7.0
52,15000.0,0,1.0,1,750.0,0,1.0,25,4.0,8.0
53,26000.0,0,2.0,1,600.0,3,2.0,8,2.0,7.0
54,12000.0,1,1.0,1,900.0,1,2.0,0,2.0,2.0
55,15000.0,1,2.0,1,1200.0,3,2.0,71,1.0,2.0
56,23000.0,1,3.0,1,1500.0,3,3.0,33,2.0,7.0
57,15000.0,2,2.0,1,650.0,3,1.0,25,1.0,1.0
58,15000.0,0,1.0,1,750.0,0,1.0,48,2.0,2.0
59,16000.0,1,4.0,1,1200.0,5,3.0,62,2.0,7.0
60,30000.0,0,3.0,1,1200.0,0,3.0,14,11.0,23.0
61,20000.0,1,3.0,0,1515.0,3,3.0,2,2.0,7.0
62,17000.0,2,3.0,1,1150.0,3,3.0,62,2.0,2.0
63,25000.0,0,4.0,1,1200.0,5,3.0,42,2.0,7.0
64,22000.0,1,4.0,1,1200.0,3,3.0,71,2.0,7.0
65,20000.0,1,2.0,1,1200.0,0,3.0,33,2.0,7.0
66,21500.0,1,3.0,1,1200.0,0,3.0,14,1.0,5.0
67,40000.0,0,4.0,2,2800.0,3,4.0,25,2.0,7.0
68,20000.0,1,2.0,1,1200.0,0,2.0,15,8.0,10.0
69,18000.0,0,1.0,0,750.0,0,1.0,14,1.0,3.0
70,38000.0,1,3.0,1,1000.0,0,3.0,47,12.0,27.0
71,28000.0,1,2.0,0,700.0,0,2.0,14,2.0,6.0
72,15000.0,1,2.0,2,1100.0,3,2.0,52,2.0,7.0
73,22000.0,1,3.0,1,1200.0,5,3.0,3,2.0,7.0
74,20000.0,1,2.0,1,1200.0,3,2.0,44,0.0,3.0
75,14000.0,2,2.0,1,1200.0,3,2.0,26,1.0,3.0
76,9500.0,0,1.0,1,200.0,0,1.0,3,1.0,3.0
77,27000.0,1,4.0,0,1455.0,0,3.0,32,9.0,16.0
78,30000.0,1,3.0,1,1200.0,5,3.0,61,2.0,7.0
79,35000.0,1,2.0,1,1200.0,0,2.0,61,2.0,17.0
80,70000.0,1,6.0,2,1200.0,3,6.0,27,0.0,2.0
81,25000.0,2,2.0,0,1200.0,3,2.0,68,1.0,1.0
82,34000.0,0,2.0,0,1400.0,0,2.0,25,23.0,23.0
83,32000.0,0,3.0,2,971.0,0,3.0,4,12.0,20.0
84,26000.0,1,3.0,2,1600.0,0,3.0,25,3.0,22.0
85,11600.0,1,1.0,1,1200.0,0,1.0,25,1.0,3.0
86,14000.0,1,2.0,1,1100.0,3,2.0,9,2.0,7.0
87,25000.0,1,4.0,1,1200.0,0,3.0,62,19.0,21.0
88,40000.0,1,5.0,1,2300.0,3,6.0,14,2.0,7.0
89,25000.0,1,4.0,1,1200.0,3,3.0,62,0.0,2.0
90,22000.0,2,2.0,1,1000.0,0,2.0,31,1.0,1.0
91,38000.0,1,2.0,1,1200.0,0,2.0,14,1.0,9.0
92,25000.0,0,2.0,1,1200.0,5,2.0,33,2.0,7.0
93,20000.0,1,3.0,1,1200.0,0,3.0,25,1.0,11.0
94,20000.0,0,3.0,0,1400.0,0,3.0,59,10.0,14.0
95,10000.0,1,2.0,1,1200.0,3,2.0,14,1.0,2.0
96,10000.0,2,1.0,1,1200.0,1,1.0,40,1.0,1.0
98,12500.0,1,2.0,1,1200.0,3,3.0,50,2.0,7.0
99,20000.0,1,3.0,1,1200.0,3,3.0,69,0.0,2.0
100,17000.0,2,2.0,1,1200.0,3,2.0,21,1.0,3.0
101,17500.0,0,2.0,2,1000.0,3,2.0,60,2.0,7.0
102,15000.0,0,2.0,1,1200.0,3,2.0,60,1.0,2.0
103,20000.0,1,2.0,1,1200.0,0,3.0,33,3.0,6.0
104,28000.0,2,3.0,1,1450.0,0,3.0,47,4.0,11.0
105,13000.0,1,1.0,1,1200.0,1,1.0,33,1.0,2.0
106,40000.0,2,5.0,1,3200.0,5,4.0,26,2.0,7.0
107,30000.0,1,2.0,1,1200.0,0,3.0,25,2.0,7.0
108,18000.0,1,3.0,2,1800.0,5,3.0,1,2.0,7.0
109,6500.0,0,2.0,1,850.0,3,2.0,15,1.0,1.0
110,22000.0,1,5.0,0,1200.0,0,4.0,1,8.0,10.0
111,17500.0,1,2.0,1,1200.0,0,2.0,62,6.0,6.0
