title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
"3 BHK Flat for Rent in Jade Heights Tower I, Kakkanad, Kochi",30000,Furnished,3,Family,,Flat,3,Kakkanad,4,32
"3 BHK Flat for Rent in Veegaland Kings Fort, Eroor, Kochi",39500,Furnished,3,Family,1200,Flat,3,Eroor,4,18
"3 BHK Flat for Rent in GRTL Gardenia, Edappally, Kochi",20000,Unfurnished,3,Bachelors/Family,1570,Flat,3,Edappally,1,1
"3 BHK Flat for Rent in Bhagheeratha VC Valley, Kakkanad, Kochi",25000,Semi-Furnished,3,Bachelors/Family,1670,Flat,3,Kakkanad,6,11
"3 BHK Flat for Rent in Skyline Florento, Kaloor, Kochi",20000,Semi-Furnished,2,Bachelors/Family,,Flat,3,Kaloor,5,9
"3 BHK Flat for Rent in Choice Paradise, Thrippunithura, Kochi",50000,Furnished,3,Bachelors,,Flat,3,Thrippunithura,13,40
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",75000,Furnished,4,Family,1675,Flat,3,Marine Drive,12,25
4 BHK Villa for Rent in Vazhakkala Kochi,42000,Furnished,5,Bachelors/Family,1650,Villa,4,Vazhakkala,,
"3 BHK Flat for Rent in Elamakkara, Kochi",18000,Unfurnished,3,Bachelors,,Flat,3,,2,4
"2 BHK Flat for Rent in Kalyan Credenz, Edappally, Kochi",32000,Unfurnished,2,Family,1220,Flat,2,Edappally,1,4
2 BHK Villa for Rent in Angamaly Kochi,45000,Furnished,3,Bachelors/Family,1000,Villa,2,Angamaly,,
3 BHK House for Rent in Puthussery Bhavan Kochi,20000,Unfurnished,2,Bachelors/Family,,House,3,Bhavan,0,2
2 BHK House for Rent in Vyttila Kochi,50000,Furnished,2,Bachelors/Family,,House,2,Vyttila,1,3
"3 BHK Flat for Rent in Cheloor Pushpak, Ravipuram, Kochi",40000,Furnished,3,Bachelors,1836,Flat,3,Ravipuram,11,16
3 BHK Villa for Rent in Palarivattom Kochi,50000,Semi-Furnished,3,Bachelors/Family,,Villa,3,Palarivattom,,
3 BHK House for Rent in Elamakkara Kochi,25000,Semi-Furnished,3,Bachelors/Family,,House,3,Elamakkara,,
"3 BHK Flat for Rent in SFS Sunnyvale, Chittethukara, Kochi",36000,Semi-Furnished,3,Family,1600,Flat,3,Chittethukara,1,1
2 BHK Villa for Rent in Kakkanad Kochi,25000,Furnished,2,Family,1300,Villa,2,Kakkanad,,
2 BHK Flat for Rent in Kochi,40000,Unfurnished,2,Bachelors,950,Flat,2,in,6,14
3 BHK House for Rent in Thrippunithura Kochi,23000,Unfurnished,3,Bachelors,,House,3,Thrippunithura,1,2
"2 BHK Flat for Rent in Jewel Oak Field, Kaloor, Kochi",24000,Furnished,2,Bachelors/Family,,Flat,2,Kaloor,1,1
2 BHK Flat for Rent in Kochi,35000,Unfurnished,2,Bachelors/Family,1150,Flat,2,in,1,5
4 BHK House for Rent in Vyttila Kochi,100000,Furnished,5,Bachelors,3600,House,4,Vyttila,,
"2 BHK Flat for Rent in Kacherippady, Kochi",35000,Semi-Furnished,3,Bachelors/Family,900,Flat,2,,3,4
"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi",35000,Semi-Furnished,3,Family,,Flat,3,Kakkanad,,
4 BHK Villa for Rent in Kakkanad Kochi,33000,Furnished,4,Family,,Villa,4,Kakkanad,,
7 BHK House for Rent in Chittethukara Kochi,20000,Unfurnished,3,Bachelors/Family,,House,7,Chittethukara,,
"2 BHK Flat for Rent in Vinayaka Bhuvaneswari Apartments, Eroor, Kochi",25000,Unfurnished,2,Bachelors,785,Apartment,2,Eroor,10,11
2 BHK House for Rent in Kothamangalam Kochi,6000,Semi-Furnished,2,Bachelors/Family,,House,2,Kothamangalam,,
2 BHK Flat for Rent in Kochi,25000,Unfurnished,2,Bachelors/Family,,Flat,2,in,2,2
3 BHK Apartment for Rent in Kakkanad Kochi,35000,Furnished,3,Bachelors/Family,,Apartment,3,Kakkanad,22,25
3 BHK Apartment for Rent in Eroor Kochi,17000,Semi-Furnished,3,Bachelors,1200,Apartment,3,Eroor,7,9
"3 BHK Apartment for Rent in Infra Vantage, Thrikkakara Kochi",30000,Furnished,3,Bachelors/Family,1500,Apartment,3,Thrikkakara,4,12
3 BHK Builder Floor for Rent in Vadakekotta Kochi,16000,,,Bachelors/Family,,Builder Floor,3,Vadakekotta,,
"2 BHK Apartment for Rent in SFS Silicon Court and Gate , Kakkanad Kochi",27500,Furnished,2,Bachelors/Family,1200,Apartment,2,Kakkanad,7,14
3 BHK House for Rent in Eroor Kochi,30000,Unfurnished,3,Bachelors/Family,3500,House,3,Eroor,1,1
6 BHK House for Rent in Palarivattom Kochi,80000,Semi-Furnished,5,Bachelors/Family,3600,House,6,Palarivattom,0,2
2 BHK House for Rent in Aluva Kochi,10000,Semi-Furnished,2,Bachelors/Family,2000,House,2,Aluva,,
"3 BHK Apartment for Rent in Skyline Synergy, Cheranalloor Kochi",30000,Semi-Furnished,3,Bachelors/Family,,Apartment,3,Cheranalloor,3,18
"1 BHK Apartment for Rent in Prestige Hillside Gateway, Kakkanad Kochi",32000,Furnished,1,Bachelors,650,Apartment,1,Kakkanad,1,26
3 BHK House for Rent in Edappally Kochi,25000,Semi-Furnished,3,Bachelors,1200,House,3,Edappally,1,2
3 BHK House for Rent in Eroor Kochi,30000,Furnished,3,Bachelors/Family,,House,3,Eroor,0,2
2 BHK House for Rent in Fort Kochi Kochi,5000,Unfurnished,1,Bachelors/Family,450,House,2,Fort Kochi,0,1
"2 BHK Apartment for Rent in JM apartments, kaloor Kochi",15000,Unfurnished,2,Bachelors/Family,,Apartment,2,kaloor,1,3
2 BHK Service Apartment for Rent in Palarivattom Kochi,20000,,2,Bachelors/Family,,Service Apartment,2,Palarivattom,1,4
3 BHK House for Rent in Aluva Kochi,6500,Semi-Furnished,2,Bachelors/Family,,House,3,Aluva,0,1
2 BHK Builder Floor for Rent in Vennala Kochi,20000,Unfurnished,2,Bachelors,1100,Builder Floor,2,Vennala,1,1
2 BHK Apartment for Rent in nanma one cochin Kochi,30000,Unfurnished,2,Bachelors,850,Apartment,2,cochin,12,26
4 BHK House for Rent in Kerala Kochi,38000,Furnished,4,Family,,House,4,Kerala,1,2
3 BHK Builder Floor for Rent in Edappally Kochi,26000,Unfurnished,3,Bachelors,1500,Builder Floor,3,Edappally,0,2
2 BHK House for Rent in Kangarappady Kochi,20000,Semi-Furnished,3,Family,,House,2,Kangarappady,,
