title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area
"2 BHK Flat for Rent in Hacienda, Aluva, Kochi","27,000",Furnished,2.0,Bachelors/Family,2 out of 15,Immediately,
"3 BHK Flat for Rent in Mather Serenade , Vazhakkala, Kochi","60,000",Furnished,4.0,Bachelors/Family,1 out of 10,Immediately,2500 sqft
"3 BHK Flat for Rent in Falcon Heights, Palarivattom, Kochi","21,000",Semi-Furnished,3.0,Bachelors,3 out of 9,Immediately,1300 sqft
"3 BHK Flat for Rent in Abad Casablanca , Vazhakkala, Kochi","35,000",Furnished,3.0,Bachelors/Family,1 out of 11,From May '25,
3 BHK House for Rent in Thrikkakara Kochi,"30,000",Semi-Furnished,3.0,Bachelors,Ground out of 1,From May '25,1400 sqft
"3 BHK Flat for Rent in Tricore 22, Aluva, Kochi","20,000",Furnished,3.0,Bachelors/Family,3 out of 22,Immediately,1800 sqft
2 BHK House for Rent in Aluva Kochi,"12,000",Semi-Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,
2 BHK House for Rent in Vazhakkala Kochi,"14,500",Semi-Furnished,1.0,Bachelors/Family,,Immediately,
"1 BHK Flat for Rent in Aquacity, Aluva, Kochi","14,500",Furnished,1.0,Bachelors,19 out of 22,Immediately,500 sqft
4 BHK Villa for Rent in Aluva Kochi,"25,000",Semi-Furnished,5.0,Bachelors/Family,,Immediately,2800 sqft
2 BHK House for Rent in Thrikkakara Kochi,"5,000",Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,1000 sqft
3 BHK House for Rent in Palarivattom Kochi,Call for Price,Furnished,3.0,Bachelors/Family,,Immediately,
4 BHK House for Rent in Palarivattom Kochi,"38,000",Furnished,4.0,Bachelors/Family,,Immediately,2500 sqft
"2 BHK Flat for Rent in Tricore 22, Aluva, Kochi","16,500",Furnished,2.0,Bachelors/Family,3 out of 5,Immediately,700 sqft
4 BHK House for Rent in Palarivattom Kochi,"30,000",Semi-Furnished,1.0,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in SFS Grandville , Thrikkakara, Kochi","40,000",Semi-Furnished,4.0,Bachelors/Family,6 out of 13,Immediately,1730 sqft
"1 BHK Flat for Rent in Alpine Suites, Aluva, Kochi","10,000",Furnished,1.0,Bachelors,,Immediately,
"3 BHK Flat for Rent in Aluva, Kochi","15,000",Semi-Furnished,4.0,Bachelors/Family,7 out of 14,Immediately,1600 sqft
4 BHK House for Rent in Palarivattom Kochi,"45,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,2500 sqft
"1 BHK Flat for Rent in Vazhakkala, Kochi","15,000",Furnished,1.0,Bachelors/Family,1 out of 6,Immediately,
"2 BHK Flat for Rent in Vazhakkala, Kochi","20,000",Furnished,2.0,Bachelors/Family,4 out of 4,Immediately,
"3 BHK Flat for Rent in Palarivattom, Kochi","25,000",Unfurnished,3.0,Bachelors,6 out of 10,Immediately,
3 BHK Villa for Rent in Thrikkakara Kochi,"30,000",Semi-Furnished,3.0,Bachelors/Family,,Immediately,
3 BHK House for Rent in Palarivattom Kochi,"3,000",Furnished,3.0,Bachelors/Family,1 out of 1,Immediately,
"2 BHK Flat for Rent in Thrikkakara, Kochi","25,000",Semi-Furnished,2.0,Bachelors/Family,12 out of 18,Immediately,
3 BHK House for Rent in Aluva Kochi,"6,500",Semi-Furnished,2.0,Bachelors/Family,Ground out of 1,Immediately,
2 BHK House for Rent in Palarivattom Kochi,"11,000",Unfurnished,1.0,Bachelors/Family,Ground out of 1,Immediately,
"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi","35,000",Unfurnished,2.0,Bachelors,8 out of 18,Immediately,1254 sqft
"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi","31,000",Unfurnished,2.0,Bachelors/Family,8 out of 18,Immediately,1254 sqft
"4 BHK Flat for Rent in Ansal City, Thrippunithura, Kochi","48,000",Furnished,4.0,Bachelors/Family,7 out of 11,Immediately,
"3 BHK Flat for Rent in ABAD Daffodil Gardens, Thrippunithura, Kochi","35,000",Semi-Furnished,3.0,Bachelors/Family,4 out of 10,Immediately,1540 sqft
3 BHK Service Apartment for Rent in Kaloor Kochi,"30,000",,3.0,Bachelors/Family,3 out of 7,Immediately,
"3 BHK Flat for Rent in Kadavanthra, Kochi","20,000",Semi-Furnished,3.0,Family,2 out of 13,From May '25,
"2 BHK Flat for Rent in Kaloor, Kochi","14,000",Unfurnished,2.0,Family,Ground out of 2,Immediately,750 sqft
"2 BHK Flat for Rent in Kaloor, Ernakulam","30,000",Semi-Furnished,2.0,Bachelors/Family,3 out of 12,Immediately,
"3 BHK Flat for Rent in Galaxy Luxor, Kadavanthra, Kochi","20,000",Furnished,2.0,Bachelors,4 out of 4,Immediately,1000 sqft
3 BHK House for Rent in Thrippunithura Kochi,"23,000",Unfurnished,3.0,Bachelors,1 out of 2,Immediately,
3 BHK House for Rent in Vadakekotta Kochi,"15,000",Unfurnished,2.0,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in RDS Aura, Kadavanthra, Kochi","50,000",Furnished,4.0,Bachelors/Family,5 out of 12,Immediately,1750 sqft
1 BHK House for Rent in Kadavanthra Kochi,"5,000",Semi-Furnished,1.0,Bachelors/Family,,Immediately,
"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi","45,000",Furnished,5.0,Bachelors/Family,,Immediately,
2 BHK House for Rent in Kaloor Kochi,"25,000",Furnished,2.0,Bachelors/Family,Ground out of 2,Immediately,
2 BHK House for Rent in Kadavanthra Kochi,"20,000",Unfurnished,2.0,Bachelors/Family,,Immediately,
"2 BHK Flat for Rent in KB Apartments, Kadavanthra, Kochi","15,000",Semi-Furnished,2.0,Family,5 out of 5,Immediately,700 sqft
4 BHK Villa for Rent in Thrippunithura Kochi,"40,000",Semi-Furnished,6.0,Bachelors/Family,,Immediately,
"1 BHK Flat for Rent in Kaloor, Kochi","3,500",Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Flat for Rent in Kaloor, Kochi","17,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 4,Immediately,
3 BHK House for Rent in Kaloor Kochi,"45,000",Unfurnished,4.0,Bachelors/Family,Ground out of 2,Immediately,2100 sqft
2 BHK House for Rent in Thrippunithura Kochi,"12,000",Semi-Furnished,2.0,Bachelors/Family,,Immediately,
"2 BHK Flat for Rent in Kadavanthra, Kochi","30,000",Semi-Furnished,2.0,Bachelors/Family,2 out of 14,Immediately,1200 sqft
"3 BHK Flat for Rent in Kadavanthra, Kochi","18,000",Semi-Furnished,3.0,Bachelors/Family,5 out of 19,Immediately,
"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi","35,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in Heera Life Style, Thrippunithura, Kochi","25,000",Semi-Furnished,4.0,Bachelors/Family,19 out of 21,Immediately,
3 BHK Villa for Rent in Thrippunithura Kochi,"16,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in Tiknar Petals, Kadavanthra, Kochi","30,000",Semi-Furnished,3.0,Bachelors/Family,3 out of 15,Immediately,
"3 BHK Flat for Rent in Dream Flower Velvetude, Edappally, Kochi","38,000",Furnished,3.0,Bachelors,1 out of 6,Immediately,1202 sqft
"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi","32,000",Furnished,2.0,Bachelors/Family,7 out of 9,Immediately,
3 BHK House for Rent in Kakkanad Kochi,"45,000",Furnished,4.0,Bachelors,2 out of 2,From May '25,1550 sqft
"3 BHK Flat for Rent in DLF Riverside, Vyttila, Kochi","64,000",Furnished,3.0,Bachelors,9 out of 12,Immediately,
"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi","30,000",Furnished,3.0,Bachelors/Family,,Immediately,
3 BHK House for Rent in Edappally Kochi,"20,000",Furnished,3.0,Bachelors/Family,,Immediately,
"2 BHK Flat for Rent in Kakkanad, Kochi","32,000",Furnished,2.0,Bachelors,5 out of 13,Immediately,
"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi","48,000",Furnished,3.0,Bachelors/Family,5 out of 23,Immediately,
2 BHK House for Rent in Edappally Kochi,"28,000",Furnished,2.0,Bachelors/Family,,Immediately,
3 BHK Villa for Rent in Kakkanad Kochi,"40,000",Furnished,3.0,Bachelors/Family,,Immediately,
2 BHK House for Rent in Vyttila Kochi,"14,000",Semi-Furnished,2.0,Bachelors/Family,,Immediately,650 sqft
"3 BHK Flat for Rent in Jewel Bay View, Vyttila, Kochi","25,000",Semi-Furnished,3.0,Bachelors/Family,4 out of 10,Immediately,
"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi","36,000",Semi-Furnished,2.0,Bachelors/Family,1 out of 9,Immediately,
"1 BHK Flat for Rent in Prestige Hillside Gateway, Kakkanad, Kochi","32,000",Furnished,1.0,Bachelors,1 out of 26,Immediately,650 sqft
2 BHK House for Rent in Kakkanad Kochi,"25,000",Furnished,2.0,Bachelors/Family,,Immediately,1000 sqft
3 BHK Villa for Rent in Kakkanad Ernakulam,"22,000",Semi-Furnished,3.0,Bachelors/Family,,Immediately,1900 sqft
"3 BHK Flat for Rent in Mystic Heights Phase I, Vyttila, Kochi","22,000",Furnished,3.0,Family,1 out of 18,Immediately,1480 sqft
"1 BHK Flat for Rent in Kakkanad, Kochi","15,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 4,Immediately,750 sqft
"3 BHK Flat for Rent in Kakkanad, Kochi","38,000",Furnished,3.0,Bachelors/Family,16 out of 20,Immediately,
4 BHK House for Rent in Edappally Kochi,"80,000",Semi-Furnished,4.0,Bachelors/Family,,Immediately,
"2 BHK Flat for Rent in DD Diamond Valley, Kakkanad, Kochi","24,000",Semi-Furnished,2.0,Bachelors,10 out of 17,Immediately,970 sqft
"2 BHK Flat for Rent in Kakkanad, Kochi","15,000",Furnished,1.0,Bachelors/Family,Ground out of 2,Immediately,700 sqft
2 BHK Villa for Rent in Kakkanad Kochi,"2,750",Semi-Furnished,2.0,Bachelors/Family,,Immediately,1010 sqft
2 BHK House for Rent in Vyttila Kochi,"50,000",Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Flat for Rent in Edappally, Kochi","16,500",Unfurnished,3.0,Bachelors/Family,2 out of 2,Immediately,1150 sqft
"1 BHK Flat for Rent in Edappally, Kochi","18,000",Unfurnished,1.0,Bachelors,1 out of 3,Immediately,600 sqft
"2 BHK Flat for Rent in Edappally, Kochi","18,000",Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Flat for Rent in Confident Cygnus III, Kakkanad, Kochi","13,000",Semi-Furnished,2.0,Family,2 out of 8,Immediately,972 sqft
3 BHK Builder Floor for Rent in Vyttila Kochi,"22,000",Unfurnished,2.0,Bachelors/Family,2 out of 4,Immediately,
"2 BHK Apartment for Rent in Kent Mahal, Kakkanad Kochi","27,000",Furnished,2.0,Bachelors,19 out of 19,Immediately,1055 sqft
"1 BHK Apartment for Rent in Aban Apartments, Kakkanad Kochi","11,600",Semi-Furnished,1.0,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Apartment for Rent in Confident Pride, Edappally Kochi","32,000",Semi-Furnished,3.0,Bachelors/Family,9 out of 19,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"19,000",Furnished,4.0,Bachelors,9 out of 20,Immediately,
"3 BHK Apartment for Rent in Bhagheeratha VC Valley, Kakkanad Kochi","25,000",Semi-Furnished,3.0,Bachelors/Family,6 out of 11,Immediately,1670 sqft
1 BHK Apartment for Rent in Edappally Kochi,"18,000",Furnished,1.0,Bachelors,1 out of 3,Immediately,750 sqft
"2 BHK Apartment for Rent in Kalpaka Vrindavan Ponekara, Edappally Kochi","28,000",Semi-Furnished,2.0,Bachelors,2 out of 6,Immediately,700 sqft
"2 BHK Apartment for Rent in Nucleus Rhyme, Edappally Kochi","38,000",Unfurnished,2.0,Bachelors,5 out of 8,Immediately,987 sqft
2 BHK House for Rent in Kakkanad Kochi,"11,000",Semi-Furnished,1.0,Bachelors/Family,1 out of 1,Immediately,
"3 BHK Apartment for Rent in Happy Homes Bhishma, Kakkanad Kochi","23,000",Furnished,3.0,Bachelors/Family,5 out of 7,Immediately,
2 BHK Apartment for Rent in Edappally Kochi,"20,000",Furnished,2.0,Bachelors/Family,Ground out of 2,Immediately,850 sqft
"3 BHK Apartment for Rent in GRTL Gardenia, Edappally Kochi","20,000",Unfurnished,3.0,Bachelors/Family,1 out of 1,Immediately,1570 sqft
"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi","18,000",Semi-Furnished,2.0,Bachelors/Family,8 out of 22,Immediately,
"3 BHK Apartment for Rent in Motif Green Meadows, Kakkanad Kochi","20,000",Semi-Furnished,3.0,Bachelors/Family,Ground out of 12,Immediately,1691 sqft
4 BHK House for Rent in Edappally Kochi,"45,000",Furnished,5.0,Bachelors,Ground out of 1,From May '25,
"2 BHK Apartment for Rent in DLF New Town Heights, Kakkanad Kochi","35,000",Furnished,3.0,Bachelors/Family,4 out of 7,From Jun '25,1200 sqft
"3 BHK Apartment for Rent in Green Vistas Prakrriti, Kakkanad Kochi","30,000",Semi-Furnished,3.0,Family,2 out of 14,Immediately,1600 sqft
3 BHK House for Rent in Vyttila Kochi,"22,500",Semi-Furnished,2.0,Bachelors,,Immediately,1200 sqft
"1 BHK Apartment for Rent in Platinum Crown Unichira, Edappally Kochi","16,000",Furnished,1.0,Bachelors/Family,4 out of 5,Immediately,750 sqft
3 BHK Apartment for Rent in Vyttila Kochi,"20,000",Unfurnished,3.0,Bachelors/Family,12 out of 18,Immediately,1500 sqft
1 BHK Apartment for Rent in Edappally Kochi,"13,000",Semi-Furnished,1.0,Bachelors,2 out of 2,Immediately,
"3 BHK Apartment for Rent in Noel Greenature, Kakkanad Kochi","55,000",Furnished,4.0,Bachelors,7 out of 10,Immediately,
1 BHK House for Rent in Kakkanad Kochi,"15,000",Unfurnished,2.0,Bachelors/Family,1 out of 1,Immediately,650 sqft
2 BHK Builder Floor for Rent in Kakkanad Kochi,"16,500",Semi-Furnished,2.0,Bachelors,1 out of 3,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"35,000",Furnished,3.0,Bachelors/Family,22 out of 25,Immediately,
2 BHK House for Rent in Edappally Kochi,"25,000",Semi-Furnished,2.0,Bachelors,1 out of 2,Immediately,700 sqft
