,title,price,furnishing,bathrooms,tenant preferred,carpet area,House,BHK,place,floor_number,total_floors
0,"2 BHK Flat for Rent in Hacienda, Aluva, Kochi",27000.0,Furnished,2.0,Bachelors/Family,,Flat,2,Aluva,2.0,15.0
1,"3 BHK Flat for Rent in Mather Serenade , Vazhakkala, Kochi",60000.0,Furnished,4.0,Bachelors/Family,2500.0,Flat,3,Vazhakkala,1.0,10.0
2,"3 BHK Flat for Rent in Falcon Heights, Palarivattom, Kochi",21000.0,Semi-Furnished,3.0,Bachelors,1300.0,Flat,3,Palarivattom,3.0,9.0
3,"3 BHK Flat for Rent in Abad Casablanca , Vazhakkala, Kochi",35000.0,Furnished,3.0,Bachelors/Family,,Flat,3,Vazhakkala,1.0,11.0
4,3 BHK House for Rent in Thrikkakara Kochi,30000.0,Semi-Furnished,3.0,Bachelors,1400.0,House,3,Thrikkakara,0.0,1.0
5,"3 BHK Flat for Rent in Tricore 22, Aluva, Kochi",20000.0,Furnished,3.0,Bachelors/Family,1800.0,Flat,3,Aluva,3.0,22.0
6,2 BHK House for Rent in Aluva Kochi,12000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Aluva,0.0,1.0
7,2 BHK House for Rent in Vazhakkala Kochi,14500.0,Semi-Furnished,1.0,Bachelors/Family,,House,2,Vazhakkala,,
8,"1 BHK Flat for Rent in Aquacity, Aluva, Kochi",14500.0,Furnished,1.0,Bachelors,500.0,Flat,1,Aluva,19.0,22.0
9,4 BHK Villa for Rent in Aluva Kochi,25000.0,Semi-Furnished,5.0,Bachelors/Family,2800.0,Villa,4,Aluva,,
10,2 BHK House for Rent in Thrikkakara Kochi,5000.0,Unfurnished,2.0,Bachelors/Family,1000.0,House,2,Thrikkakara,1.0,1.0
11,3 BHK House for Rent in Palarivattom Kochi,,Furnished,3.0,Bachelors/Family,,House,3,Palarivattom,,
12,4 BHK House for Rent in Palarivattom Kochi,38000.0,Furnished,4.0,Bachelors/Family,2500.0,House,4,Palarivattom,,
13,"2 BHK Flat for Rent in Tricore 22, Aluva, Kochi",16500.0,Furnished,2.0,Bachelors/Family,700.0,Flat,2,Aluva,3.0,5.0
14,4 BHK House for Rent in Palarivattom Kochi,30000.0,Semi-Furnished,1.0,Bachelors/Family,,House,4,Palarivattom,,
15,"3 BHK Flat for Rent in SFS Grandville , Thrikkakara, Kochi",40000.0,Semi-Furnished,4.0,Bachelors/Family,1730.0,Flat,3,Thrikkakara,6.0,13.0
16,"1 BHK Flat for Rent in Alpine Suites, Aluva, Kochi",10000.0,Furnished,1.0,Bachelors,,Flat,1,Aluva,,
17,"3 BHK Flat for Rent in Aluva, Kochi",15000.0,Semi-Furnished,4.0,Bachelors/Family,1600.0,Flat,3,,7.0,14.0
18,4 BHK House for Rent in Palarivattom Kochi,45000.0,Semi-Furnished,4.0,Bachelors/Family,2500.0,House,4,Palarivattom,,
19,"1 BHK Flat for Rent in Vazhakkala, Kochi",15000.0,Furnished,1.0,Bachelors/Family,,Flat,1,,1.0,6.0
20,"2 BHK Flat for Rent in Vazhakkala, Kochi",20000.0,Furnished,2.0,Bachelors/Family,,Flat,2,,4.0,4.0
21,"3 BHK Flat for Rent in Palarivattom, Kochi",25000.0,Unfurnished,3.0,Bachelors,,Flat,3,,6.0,10.0
22,3 BHK Villa for Rent in Thrikkakara Kochi,30000.0,Semi-Furnished,3.0,Bachelors/Family,,Villa,3,Thrikkakara,,
23,3 BHK House for Rent in Palarivattom Kochi,3000.0,Furnished,3.0,Bachelors/Family,,House,3,Palarivattom,1.0,1.0
24,"2 BHK Flat for Rent in Thrikkakara, Kochi",25000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,,12.0,18.0
25,3 BHK House for Rent in Aluva Kochi,6500.0,Semi-Furnished,2.0,Bachelors/Family,,House,3,Aluva,0.0,1.0
26,2 BHK House for Rent in Palarivattom Kochi,11000.0,Unfurnished,1.0,Bachelors/Family,,House,2,Palarivattom,0.0,1.0
27,"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",35000.0,Unfurnished,2.0,Bachelors,1254.0,Flat,2,Kadavanthra,8.0,18.0
28,"2 BHK Flat for Rent in Olive Heights, Kadavanthra, Kochi",31000.0,Unfurnished,2.0,Bachelors/Family,1254.0,Flat,2,Kadavanthra,8.0,18.0
29,"4 BHK Flat for Rent in Ansal City, Thrippunithura, Kochi",48000.0,Furnished,4.0,Bachelors/Family,,Flat,4,Thrippunithura,7.0,11.0
30,"3 BHK Flat for Rent in ABAD Daffodil Gardens, Thrippunithura, Kochi",35000.0,Semi-Furnished,3.0,Bachelors/Family,1540.0,Flat,3,Thrippunithura,4.0,10.0
31,3 BHK Service Apartment for Rent in Kaloor Kochi,30000.0,,3.0,Bachelors/Family,,Service Apartment,3,Kaloor,3.0,7.0
32,"3 BHK Flat for Rent in Kadavanthra, Kochi",20000.0,Semi-Furnished,3.0,Family,,Flat,3,,2.0,13.0
33,"2 BHK Flat for Rent in Kaloor, Kochi",14000.0,Unfurnished,2.0,Family,750.0,Flat,2,,0.0,2.0
34,"2 BHK Flat for Rent in Kaloor, Ernakulam",30000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,2,,3.0,12.0
35,"3 BHK Flat for Rent in Galaxy Luxor, Kadavanthra, Kochi",20000.0,Furnished,2.0,Bachelors,1000.0,Flat,3,Kadavanthra,4.0,4.0
36,3 BHK House for Rent in Thrippunithura Kochi,23000.0,Unfurnished,3.0,Bachelors,,House,3,Thrippunithura,1.0,2.0
37,3 BHK House for Rent in Vadakekotta Kochi,15000.0,Unfurnished,2.0,Bachelors/Family,,House,3,Vadakekotta,,
38,"3 BHK Flat for Rent in RDS Aura, Kadavanthra, Kochi",50000.0,Furnished,4.0,Bachelors/Family,1750.0,Flat,3,Kadavanthra,5.0,12.0
39,1 BHK House for Rent in Kadavanthra Kochi,5000.0,Semi-Furnished,1.0,Bachelors/Family,,House,1,Kadavanthra,,
40,"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",45000.0,Furnished,5.0,Bachelors/Family,,Villa,4,Thrippunithura,,
41,2 BHK House for Rent in Kaloor Kochi,25000.0,Furnished,2.0,Bachelors/Family,,House,2,Kaloor,0.0,2.0
42,2 BHK House for Rent in Kadavanthra Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,,House,2,Kadavanthra,,
43,"2 BHK Flat for Rent in KB Apartments, Kadavanthra, Kochi",15000.0,Semi-Furnished,2.0,Family,700.0,Apartment,2,Kadavanthra,5.0,5.0
44,4 BHK Villa for Rent in Thrippunithura Kochi,40000.0,Semi-Furnished,6.0,Bachelors/Family,,Villa,4,Thrippunithura,,
45,"1 BHK Flat for Rent in Kaloor, Kochi",3500.0,Furnished,1.0,Bachelors/Family,,Flat,1,,1.0,3.0
46,"3 BHK Flat for Rent in Kaloor, Kochi",17000.0,Semi-Furnished,2.0,Bachelors/Family,,Flat,3,,1.0,4.0
47,3 BHK House for Rent in Kaloor Kochi,45000.0,Unfurnished,4.0,Bachelors/Family,2100.0,House,3,Kaloor,0.0,2.0
48,2 BHK House for Rent in Thrippunithura Kochi,12000.0,Semi-Furnished,2.0,Bachelors/Family,,House,2,Thrippunithura,,
49,"2 BHK Flat for Rent in Kadavanthra, Kochi",30000.0,Semi-Furnished,2.0,Bachelors/Family,1200.0,Flat,2,,2.0,14.0
50,"3 BHK Flat for Rent in Kadavanthra, Kochi",18000.0,Semi-Furnished,3.0,Bachelors/Family,,Flat,3,,5.0,19.0
51,"4 BHK Villa for Rent in Vineyard Meadows , Thrippunithura Kochi",35000.0,Semi-Furnished,4.0,Bachelors/Family,,Villa,4,Thrippunithura,,
52,"3 BHK Flat for Rent in Heera Life Style, Thrippunithura, Kochi",25000.0,Semi-Furnished,4.0,Bachelors/Family,,Flat,3,Thrippunithura,19.0,21.0
53,3 BHK Villa for Rent in Thrippunithura Kochi,16000.0,Semi-Furnished,4.0,Bachelors/Family,,Villa,3,Thrippunithura,,
54,"3 BHK Flat for Rent in Tiknar Petals, Kadavanthra, Kochi",30000.0,Semi-Furnished,3.0,Bachelors/Family,,Flat,3,Kadavanthra,3.0,15.0
55,"3 BHK Flat for Rent in Dream Flower Velvetude, Edappally, Kochi",38000.0,Furnished,3.0,Bachelors,1202.0,Flat,3,Edappally,1.0,6.0
56,"2 BHK Flat for Rent in Sowparnika Atrium, Edappally, Kochi",32000.0,Furnished,2.0,Bachelors/Family,,Flat,2,Edappally,7.0,9.0
57,3 BHK House for Rent in Kakkanad Kochi,45000.0,Furnished,4.0,Bachelors,1550.0,House,3,Kakkanad,2.0,2.0
58,"3 BHK Flat for Rent in DLF Riverside, Vyttila, Kochi",64000.0,Furnished,3.0,Bachelors,,Flat,3,Vyttila,9.0,12.0
59,"3 BHK Villa for Rent in Green Casa, Kakkanad Kochi",30000.0,Furnished,3.0,Bachelors/Family,,Villa,3,Kakkanad,,
60,3 BHK House for Rent in Edappally Kochi,20000.0,Furnished,3.0,Bachelors/Family,,House,3,Edappally,,
61,"2 BHK Flat for Rent in Kakkanad, Kochi",32000.0,Furnished,2.0,Bachelors,,Flat,2,,5.0,13.0
62,"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi",48000.0,Furnished,3.0,Bachelors/Family,,Flat,3,Kakkanad,5.0,23.0
