title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area
"3 BHK Flat for Rent in Jade Heights Tower I, Kakkanad, Kochi","30,000",Furnished,3,Family,4 out of 32,Immediately,
"3 BHK Flat for Rent in Veegaland Kings Fort, Eroor, Kochi","39,500",Furnished,3,Family,4 out of 18,Immediately,1200 sqft
"3 BHK Flat for Rent in GRTL Gardenia, Edappally, Kochi","20,000",Unfurnished,3,Bachelors/Family,1 out of 1,Immediately,1570 sqft
"3 BHK Flat for Rent in Bhagheeratha VC Valley, Kakkanad, Kochi","25,000",Semi-Furnished,3,Bachelors/Family,6 out of 11,Immediately,1670 sqft
"3 BHK Flat for Rent in Skyline Florento, Kaloor, Kochi","20,000",Semi-Furnished,2,Bachelors/Family,5 out of 9,Immediately,
"3 BHK Flat for Rent in Choice Paradise, Thrippunithura, Kochi","50,000",Furnished,3,Bachelors,13 out of 40,From Feb '25,
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi","75,000",Furnished,4,Family,12 out of 25,Immediately,1675 sqft
4 BHK Villa for Rent in Vazhakkala Kochi,"42,000",Furnished,5,Bachelors/Family,,Immediately,1650 sqft
"3 BHK Flat for Rent in Elamakkara, Kochi","18,000",Unfurnished,3,Bachelors,2 out of 4,Immediately,
"2 BHK Flat for Rent in Kalyan Credenz, Edappally, Kochi","32,000",Unfurnished,2,Family,1 out of 4,Immediately,1220 sqft
2 BHK Villa for Rent in Angamaly Kochi,"45,000",Furnished,3,Bachelors/Family,,Immediately,1000 sqft
3 BHK House for Rent in Puthussery Bhavan Kochi,"20,000",Unfurnished,2,Bachelors/Family,Ground out of 2,Immediately,
2 BHK House for Rent in Vyttila Kochi,"50,000",Furnished,2,Bachelors/Family,1 out of 3,Immediately,
"3 BHK Flat for Rent in Cheloor Pushpak, Ravipuram, Kochi","40,000",Furnished,3,Bachelors,11 out of 16,Immediately,1836 sqft
3 BHK Villa for Rent in Palarivattom Kochi,"50,000",Semi-Furnished,3,Bachelors/Family,,Immediately,
3 BHK House for Rent in Elamakkara Kochi,"25,000",Semi-Furnished,3,Bachelors/Family,,Immediately,
"3 BHK Flat for Rent in SFS Sunnyvale, Chittethukara, Kochi","36,000",Semi-Furnished,3,Family,1 out of 1,Immediately,1600 sqft
2 BHK Villa for Rent in Kakkanad Kochi,"25,000",Furnished,2,Family,,Immediately,1300 sqft
2 BHK Flat for Rent in Kochi,"40,000",Unfurnished,2,Bachelors,6 out of 14,Immediately,950 sqft
3 BHK House for Rent in Thrippunithura Kochi,"23,000",Unfurnished,3,Bachelors,1 out of 2,Immediately,
"2 BHK Flat for Rent in Jewel Oak Field, Kaloor, Kochi","24,000",Furnished,2,Bachelors/Family,1 out of 1,Immediately,
2 BHK Flat for Rent in Kochi,"35,000",Unfurnished,2,Bachelors/Family,1 out of 5,Immediately,1150 sqft
4 BHK House for Rent in Vyttila Kochi,1 Lac,Furnished,5,Bachelors,,Immediately,3600 sqft
"2 BHK Flat for Rent in Kacherippady, Kochi","35,000",Semi-Furnished,3,Bachelors/Family,3 out of 4,Immediately,900 sqft
"3 BHK Flat for Rent in Asten Campus Court, Kakkanad, Kochi","35,000",Semi-Furnished,3,Family,,,
4 BHK Villa for Rent in Kakkanad Kochi,"33,000",Furnished,4,Family,,Immediately,
7 BHK House for Rent in Chittethukara Kochi,"20,000",Unfurnished,3,Bachelors/Family,,Immediately,
"2 BHK Flat for Rent in Vinayaka Bhuvaneswari Apartments, Eroor, Kochi","25,000",Unfurnished,2,Bachelors,10 out of 11,Immediately,785 sqft
2 BHK House for Rent in Kothamangalam Kochi,"6,000",Semi-Furnished,2,Bachelors/Family,,Immediately,
2 BHK Flat for Rent in Kochi,"25,000",Unfurnished,2,Bachelors/Family,2 out of 2,Immediately,
3 BHK Apartment for Rent in Kakkanad Kochi,"35,000",Furnished,3,Bachelors/Family,22 out of 25,Immediately,
3 BHK Apartment for Rent in Eroor Kochi,"17,000",Semi-Furnished,3,Bachelors,7 out of 9,Immediately,1200 sqft
"3 BHK Apartment for Rent in Infra Vantage, Thrikkakara Kochi","30,000",Furnished,3,Bachelors/Family,4 out of 12,Immediately,1500 sqft
3 BHK Builder Floor for Rent in Vadakekotta Kochi,"16,000",,,Bachelors/Family,,Immediately,
"2 BHK Apartment for Rent in SFS Silicon Court and Gate , Kakkanad Kochi","27,500",Furnished,2,Bachelors/Family,7 out of 14,From Feb '25,1200 sqft
3 BHK House for Rent in Eroor Kochi,"30,000",Unfurnished,3,Bachelors/Family,1 out of 1,Immediately,3500 sqft
6 BHK House for Rent in Palarivattom Kochi,"80,000",Semi-Furnished,5,Bachelors/Family,Ground out of 2,Immediately,3600 sqft
2 BHK House for Rent in Aluva Kochi,"10,000",Semi-Furnished,2,Bachelors/Family,,Immediately,2000 sqft
"3 BHK Apartment for Rent in Skyline Synergy, Cheranalloor Kochi","30,000",Semi-Furnished,3,Bachelors/Family,3 out of 18,Immediately,
"1 BHK Apartment for Rent in Prestige Hillside Gateway, Kakkanad Kochi","32,000",Furnished,1,Bachelors,1 out of 26,Immediately,650 sqft
3 BHK House for Rent in Edappally Kochi,"25,000",Semi-Furnished,3,Bachelors,1 out of 2,Immediately,1200 sqft
3 BHK House for Rent in Eroor Kochi,"30,000",Furnished,3,Bachelors/Family,Ground out of 2,Immediately,
2 BHK House for Rent in Fort Kochi Kochi,"5,000",Unfurnished,1,Bachelors/Family,Ground out of 1,Immediately,450 sqft
"2 BHK Apartment for Rent in JM apartments, kaloor Kochi","15,000",Unfurnished,2,Bachelors/Family,1 out of 3,Immediately,
2 BHK Service Apartment for Rent in Palarivattom Kochi,"20,000",,2,Bachelors/Family,1 out of 4,Immediately,
3 BHK House for Rent in Aluva Kochi,"6,500",Semi-Furnished,2,Bachelors/Family,Ground out of 1,Immediately,
2 BHK Builder Floor for Rent in Vennala Kochi,"20,000",Unfurnished,2,Bachelors,1 out of 1,Immediately,1100 sqft
2 BHK Apartment for Rent in nanma one cochin Kochi,"30,000",Unfurnished,2,Bachelors,12 out of 26,Immediately,850 sqft
4 BHK House for Rent in Kerala Kochi,"38,000",Furnished,4,Family,1 out of 2,Immediately,
3 BHK Builder Floor for Rent in Edappally Kochi,"26,000",Unfurnished,3,Bachelors,Ground out of 2,Immediately,1500 sqft
