title,price,furnishing,bathrooms,tenant preferred,floor,status,carpet area,House,BHK
"3 BHK Flat for Rent in Jade Heights Tower I, Kakkanad, Kochi",30000.0,Furnished,3.0,Family,4 out of 32,Immediately,,Flat,3
"3 BHK Flat for Rent in Veegaland Kings Fort, Eroor, Kochi",39500.0,Furnished,3.0,Family,4 out of 18,Immediately,1200.0,Flat,3
"3 BHK Flat for Rent in GRTL Gardenia, Edappally, Kochi",20000.0,Unfurnished,3.0,Bachelors/Family,1 out of 1,Immediately,1570.0,Flat,3
"3 BHK Flat for Rent in Bhagheeratha VC Valley, Kakkanad, Kochi",25000.0,Semi-Furnished,3.0,Bachelors/Family,6 out of 11,Immediately,1670.0,Flat,3
"3 BHK Flat for Rent in Skyline Florento, Kaloor, Kochi",20000.0,Semi-Furnished,2.0,Bachelors/Family,5 out of 9,Immediately,,Flat,3
"3 BHK Flat for Rent in Choice Paradise, Thrippunithura, Kochi",50000.0,Furnished,3.0,Bachelors,13 out of 40,From Feb '25,,Flat,3
"3 BHK Flat for Rent in TATA Tritvam , Marine Drive, Kochi",75000.0,Furnished,4.0,Family,12 out of 25,Immediately,1675.0,Flat,3
4 BHK Villa for Rent in Vazhakkala Kochi,42000.0,Furnished,5.0,Bachelors/Family,,Immediately,1650.0,Villa,4
"3 BHK Flat for Rent in Elamakkara, Kochi",18000.0,Unfurnished,3.0,Bachelors,2 out of 4,Immediately,,Flat,3
"2 BHK Flat for Rent in Kalyan Credenz, Edappally, Kochi",32000.0,Unfurnished,2.0,Family,1 out of 4,Immediately,1220.0,Flat,2
2 BHK Villa for Rent in Angamaly Kochi,45000.0,Furnished,3.0,Bachelors/Family,,Immediately,1000.0,Villa,2
3 BHK House for Rent in Puthussery Bhavan Kochi,20000.0,Unfurnished,2.0,Bachelors/Family,Ground out of 2,Immediately,,House,3
2 BHK House for Rent in Vyttila Kochi,50000.0,Furnished,2.0,Bachelors/Family,1 out of 3,Immediately,,House,2
"3 BHK Flat for Rent in Cheloor Pushpak, Ravipuram, Kochi",40000.0,Furnished,3.0,Bachelors,11 out of 16,Immediately,1836.0,Flat,3
3 BHK Villa for Rent in Palarivattom Kochi,50000.0,Semi-Furnished,3.0,Bachelors/Family,,Immediately,,Villa,3
