_id,Sl No.,Finacial Year,BBMP Zone,BBMP Ward,Ward Number,No of Applications,Total Collection (Amount in lakhs)
1,1,2016-2017,Yelahanka,Kempegowda Ward,1,6637,658.15
2,2,2016-2017,Yelahanka,Chowdeshwari Ward,2,8686,428.36
3,3,2016-2017,Yelahanka,Attur,3,15185,731.70
4,4,2016-2017,Yelahanka,Yelahanka Satellite town,4,9488,809.71
5,5,2016-2017,Yelahanka,Jakkur,5,18760,1290.44
6,6,2016-2017,Yelahanka,Thanisandra,6,17490,5882.86
7,7,2016-2017,Yelahanka,Byatarayanapura,7,16399,1729.75
8,8,2016-2017,Yelahanka,Kodigehalli,8,8486,642.40
9,9,2016-2017,Yelahanka,Vidyaranyapura,9,14591,873.14
10,10,2016-2017,Yelahanka,Doddabommasandra,10,5339,453.85
11,11,2016-2017,Yelahanka,Kuvempunagar,11,6446,254.47
12,12,2016-2017,Dasarahalli,Shettyhalli,12,13924,659.09
13,13,2016-2017,Dasarahalli,Mallasandra,13,5155,232.44
14,14,2016-2017,Dasarahalli,Bagalagunte,14,12626,906.72
15,15,2016-2017,Dasarahalli,T. Dasarahalli,15,3779,238.90
16,16,2016-2017,RR Nagara,Jalahalli,16,3907,538.98
17,17,2016-2017,RR Nagara,J.P.Park,17,7485,635.39
18,18,2016-2017,East,Radhakrishna Temple Ward,18,6931,793.27
19,19,2016-2017,East,Sanjaynagar,19,5354,480.32
20,20,2016-2017,East,Ganganagar,20,3179,408.54
21,21,2016-2017,East,Hebbal,21,4370,346.23
22,22,2016-2017,East,Vishwanatha Nagenahalli,22,7279,456.66
23,23,2016-2017,East,Nagavara,23,7049,500.41
24,24,2016-2017,East,HBR Layout,24,12099,955.22
25,25,2016-2017,Mahadevapura,Horamavu,25,32691,1984.77
26,26,2016-2017,Mahadevapura,Ramamurthynagar,26,14763,615.64
27,27,2016-2017,East,Banasawadi,27,10389,1111.98
28,28,2016-2017,East,Kammanahalli,28,4998,300.01
29,29,2016-2017,East,Kacharakanahalli,29,6894,707.90
30,30,2016-2017,East,Kadugondanahalli,30,3603,145.86
