_id,Type,No of units,Apartment Name / House Address,Monthly expense on water,Do you have water rationing?,How many dry days  recently?,Source of water (Select multiple if required),How often do you buy water,No of tankers,Tanker capacity (in litres),Average tanker price,Do you use treated STP water for flushing/gardening?
1,Apartment,12,Electronics City Phase 1,19000,"","",Tanker Water,1,1,6500,650,No
2,Independent House,"","3694, 9th cross, 13th Main, Doopanahalli, Indiranagar",300,"","",BWSSB,"","","","",""
3,Apartment,96,"Kristal Campus II
79/6 
BELLANDUR",75000,Not yet,One,"Borewell
Tanker Water",Daily,2 to 3 daily,12000 litres,1400,No
4,Independent House,"",Ferns Paradise,About 500/-,Yes.,Yes.,"BWSSB
Borewell
Tanker Water",3 weeks,1,4000 litres,500/-,""
5,Apartment,32,"Smaart Forte, 45 Owners Court
kasavanahalli Main Road, Kasavanahalli",30000,No,8,"Borewell
Tanker Water",1,2,6000,650,No
6,Apartment,38,Owners court east,40000,No,"",Tanker Water,Every day,1.5,12000,1400,No
7,Apartment,65,Ushodaya luxuria,80000,"",15,"Borewell
Tanker Water",Everyday 3 tankers minimum,90,6000,900,Yes
8,Apartment,350,"Oceanus VISTA, Kasavanahalli",400000,Yes. No supply from 2 pm to 5 pm,Three days,Tanker Water,Every day,15,12000,1300,Yes
9,Apartment,220,"SLS Splendor apartment , Devarabisanahalli",200000,"Yes, no supply between 11pm to 5 am",Not fully dry but frequent disruption,"Borewell
Tanker Water",every day,4,6000,650,Yes
10,Apartment,26,"SUPRAMA COLONIAL  SITE 101 4TH CROSS TULASI LAYOUT
LANE OPP SJR VERITY KASAVANAHALLI",42000,No,4 days,Tanker Water,1,70,12000,1000,No
11,Independent House,"",Kasavanahalli Main Road,1000,No,4,Tanker Water,Every 2 weeks,1,5000,500,""
12,Independent House,"","No18,Lingareddy layout,valepura,varthur,Bangalore 87",1250,"","",Tanker Water,7,3.5,4000,400,""
13,Apartment,128,Century saras,20000,"","",Borewell,"","","","",Yes
14,Apartment,20,Matru sree residency,35000,Yes morning 5 hours and evening 4 hours,Alternate days,"BWSSB
Borewell
Tanker Water",Every day,2,7000,700,No
15,Apartment,314,SMR Vinay GAlaxy,200000,No,No,"BWSSB
Borewell","","","","",Yes
16,Apartment,20,Owners court layout Kasavanahalli Bangalore,30000,Yes supply few hr a day,15 days,"Borewell
Tanker Water",Every day,2,6000,1000,No
17,Apartment,28,Chinnu Paradise,45000,No,1,"Borewell
Tanker Water",1,2,7500,750,No
18,Apartment,300,BMglorietta,400000,"Yes, only few hours water supply due to tanker demand",10,Tanker Water,Everyday,12,16000,1200,Yes
19,Independent House,"","28 Main, JP Nagar 1st Phase Bangalore 78",1100,Yes - we get water on alternate days and for a 4-5 hours. So we built a sump and have been using motor for many years now.,None because summer is not here yet.,BWSSB,"","","","",""
20,Apartment,40,Singasandra,3000,"","","BWSSB
Tanker Water",7,3,Standard,800,No
21,Independent House,"","765, Ferns Paradise, Doddanekundi",450,Yes,None,"BWSSB
Borewell","","","","",""
22,Independent House,"","TULASI LAYOUT, 1ST CROSS, NEAR LACASA RESTAURANT",6000,Yes,2,Tanker Water,5,1,15000,1000,""
23,Apartment,387,"Bren Avalon, Doddanekundi Extention, Next to Big Basket warehouse
Bangalore - 560048",4lacs,Allowing water 4 hours in the morning and same in the evening.,2,Tanker Water,1,12,12000,9p,Yes
24,Apartment,42,"CMRS COURTYARD, TIPPASANDRA ROAD, VARTHUR",500,Yes,None yet as just we have started to live and one more is already dry.,Borewell,"","","","",Yes
25,Apartment,198,Sumadhura Pranavam MTB,300000,"","",Tanker Water,Every day,3,1000,700,Yes
26,Apartment,36,"Silverware ,owners court west kasavanahalli",950,Yes,"","Borewell
Tanker Water",30,30,12000,1100,No
27,Apartment,82,"Vishnu Habitat, thubrahalli ext road",30000,Yes,0,Borewell,"","","","",Yes
28,Apartment,900,Ozone evergreens,2000*900,No,1 day in feb,Tanker Water,Everyday,60,6000,650,Yes
29,Apartment,40,"Suncity layout
JP Nagar 7 phase
Bengaluru-78",25000,No,0,"BWSSB
Borewell","","","","",Yes
30,Apartment,68,SriMitra Estates 10J Cross Nagavarapalya,30000,No,"",Borewell,"","","","",No
31,Apartment,120 x ( 6000 litres),"Divya Jyothi Earth, kasavanahalli",Approx 65000,During shortage,"Want completely dry, but significant shortage",Tanker Water,Every day,120,6000 average,600,Yes
32,Apartment,529 but 430 are occupied at present,"SJR  Watermark,Shub Enclave, Harlur Road",5.85 lacs. It is ncreasing since Jan 2019,Not at present but plan to have to reduce consumption,No,Tanker Water,Daily,30,6000 lts,700,Yes
33,Apartment,30,Vinayaka Residency,39000,Yes,"",Tanker Water,Daily,2,12000,1200,Yes
34,Apartment,30,Vinayaka Residency,39000,Yes,"",Tanker Water,Daily,2,12000,1200,Yes
